#project	experiment	organism	sample	external_db_name	sort order
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	intact reservosome (B1), nonesmereldo-like, trypsin digested 	TcruziNonEsmeraldoLike_Proteomics_Reservosomes_B1TU_RSRC	
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	reservosome membrane (B1M), nonesmereldo-like	TcruziNonEsmeraldoLike_Proteomics_Reservosomes_B1MTU_RSRC	
TriTrypDB	<b>Insect form membrane proteins (Cordero et al.)</b>	<i>Trypanosoma cruzi</i>	GPI-anchored membrane proteins, esmereldo-like	TcruziEsmeraldoLike_Proteomics_Membrane_Protein_RSRC	
TriTrypDB	<b>Insect form membrane proteins (Cordero et al.)</b>	<i>Trypanosoma cruzi</i>	GPI-anchored membrane proteins, nonesmereldo-like	TcruziNonEsmeraldoLike_Proteomics_Membrane_Protein_RSRC	
TriTrypDB	<b>Metacyclogenesis (Ouellette, et al. unpublished)</b>	<i>Leishmania infantum</i>	metacyclic stage (pH 5-6)	Linfantum_Proteomics_OuelletteM_Metacyclic_RSRC	
TriTrypDB	<b>Exosome Proteome (Silverman et al.)</b>	<i>Leishmania donovani</i>	exosome whole cell lysate	Lmajor_Proteomics_Exosomes_RSRC	
TriTrypDB	<b>Promastigote secretome (Cuervo et al.)</b>	<i>Leishmania braziliensis</i>	secretome	Lbraziliensis_Proteomics_Promastigotes_Secreted_RSRC	
TriTrypDB	<b>Bloodstream form phosphoproteome (Nett et al.)</b>	<i>Trypanosoma brucei</i>	cytosolic fraction of bloodstream form - phosphopeptide enriched	Tbrucei_Ferguson_Phospho_Proteome_RSRC	
TriTrypDB	<b>Amastigote secretome (Paape et al.)</b>	<i>Leishmania mexicana</i>	amastigotes (FACS sorted, LC-MS/MS)	Lmexicana_Proteomics_Aebischer_GelFree_RSRC	
TriTrypDB	<b>Procyclic form palmitoylated and non-palmitoylated peptides (Emmer et al.) </b>	<i>Trypanosoma brucei</i>	Procyclic form palmitoylated and non-palmitoylated peptides	Tbrucei_Almeida_Palmitoylated_Proteome_RSRC	
PlasmoDB	<b>Sexual and asexual life cycle stages (3D7) (Florens et al. 2002)</b>	<i>Plasmodium falciparum</i>	merozoite (synchronized)	Florens_Life_Cycle_MassSpec_Mrz_RSRC	1
PlasmoDB	<b>Sexual and asexual life cycle stages (3D7) (Florens et al. 2002)</b>	<i>Plasmodium falciparum</i>	trophozoite (synchronized)	Florens_Life_Cycle_MassSpec_Tpz_RSRC	1
PlasmoDB	<b>Sexual and asexual life cycle stages (3D7) (Florens et al. 2002)</b>	<i>Plasmodium falciparum</i>	gametocyte stage IV and V	Florens_Life_Cycle_MassSpec_Gmt_RSRC	1
PlasmoDB	<b>Sexual and asexual life cycle stages (3D7) (Florens et al. 2002)</b>	<i>Plasmodium falciparum</i>	sporozoite, 14 day purified	Florens_Life_Cycle_MassSpec_Spz_RSRC	1
PlasmoDB	<b>Merozoite Proteome (3D7) (Leiden Malaria Group unpublished)</b>	<i>Plasmodium falciparum</i>	merozoite proteome (3D7)	Pf_Merozoite_Peptides_RSRC	1
PlasmoDB	<b>Profile of Sporozoite Maturation (NF54) (Lasonder et al.)</b>	<i>Plasmodium falciparum</i>	oocysts 7-8 days post-infection	Lasonder_Mosquito_Oocysts_Mass_Spec_RSRC	1
PlasmoDB	<b>Profile of Sporozoite Maturation (NF54) (Lasonder et al.)</b>	<i>Plasmodium falciparum</i>	oocyst-derived sporozoite 13-14 days post-infection	Lasonder_Mosquito_oocyst_derived_sporozoites_RSRC	1
PlasmoDB	<b>Profile of Sporozoite Maturation (NF54) (Lasonder et al.)</b>	<i>Plasmodium falciparum</i>	salivary gland sporozoites 18-22 days post-infection	Lasonder_Mosquito_salivary_gland_sporozoites_RSRC	1
PlasmoDB	<b>Parasite -infected erythrocyte surface proteins (PIESP) (3D7) (Florens et al. 2004)</b>	<i>Plasmodium falciparum</i>	late trophozoite-schizont stage biotin-purified iRBC membrane proteins	Florens_PIESPs_MassSpec_RSRC	1
PlasmoDB	<b>Male vs female gametocytes (ANKA) (Khan et al.) </b>	<i>Plasmodium berghei</i>	female gametocytes	Waters_female_gametes_RSRC	3
PlasmoDB	<b>Male vs female gametocytes (ANKA) (Khan et al.) </b>	<i>Plasmodium berghei</i>	male gametocytes	Waters_male_gametes_RSRC	3
PlasmoDB	<b>Male vs female gametocytes (ANKA) (Khan et al.) </b>	<i>Plasmodium berghei</i>	mixed gametocytes	Waters_mixed_gametes_RSRC	3
PlasmoDB	<b>Liver stage proteomes (17XNL) (Tarun et al.)</b>	<i>Plasmodium yoelii</i>	infected hepatocytes containing late schizont, 40 h post-infection	Pyoelii_LiverStage_LS40_RSRC	4
PlasmoDB	<b>Liver stage proteomes (17XNL) (Tarun et al.)</b>	<i>Plasmodium yoelii</i>	infected hepatocytes containing merozoite, 50 h post-infection	Pyoelii_LiverStage_LS50_RSRC	4
PlasmoDB	<b>P. falciparum infected erythrocytes from patient blood sample (Acharya et al.)</b>	<i>Plasmodium falciparum</i>	P. falciparum infected erythrocytes from patient blood sample	Pfalciparum_Tatu_Clinical_Proteomics_RSRC	1
PlasmoDB	<b>Parasite rupture from erythrocyte (D10) (Bowyer et al.)</b>	<i>Plasmodium falciparum</i>	schizont, 42 h post-infection	Pf_Bowyer_Proteomics_42hrs_Post_Infection_RSRC	1
PlasmoDB	<b>Parasite rupture from erythrocyte (D10) (Bowyer et al.)</b>	<i>Plasmodium falciparum</i>	schizont, 48 h post-infection	Pf_Bowyer_Proteomics_48hrs_Post_Infection_RSRC	1
PlasmoDB	<b>P. vivax-infected erythrocytes from patient blood samples (Acharya et al.)</b>	<i>Plasmodium vivax</i>	P. vivax infected erythrocytes from patient blood samples (Acharya et al.)	Pvivax_Tatu_Clinical_Proteomics_RSRC	2
PlasmoDB	<b>Gametocytogenesis: trophozoites vs early or late gametocytes (3D7,NF54) (Silverstrini et al.)</b>	<i>Plasmodium falciparum</i>	synchronous trophozoites from gametocyte-less 3D7A clone F12	Pf_Lasonder_Proteomics_Blood_Stages_early_gametocytes_RSRC	1
PlasmoDB	<b>Gametocytogenesis: trophozoites vs early or late gametocytes (3D7,NF54) (Silverstrini et al.)</b>	<i>Plasmodium falciparum</i>	stage I-II gametocytes (3D7)	Pf_Lasonder_Proteomics_Blood_Stages_late_gametocytes_RSRC	1
PlasmoDB	<b>Gametocytogenesis: trophozoites vs early or late gametocytes (3D7,NF54) (Silverstrini et al.)</b>	<i>Plasmodium falciparum</i>	stage V gametocytes (NF54)	Pf_Lasonder_Proteomics_Blood_Stages_trophozoites_RSRC	1
PlasmoDB	<b>Blood stage phosphoproteome and total proteome (3D7) (Treeck & Sanders et al.)</b>	<i>Plasmodium falciparum</i>	schizont phosphopeptide-enriched	Pf_Boothroyd_Elias_Moritz_Phosphoproteome_RSRC	1
PlasmoDB	<b>Blood stage phosphoproteome and total proteome (3D7) (Treeck & Sanders et al.)</b>	<i>Plasmodium falciparum</i>	schizont phosphopeptide-depleted	Pf_Boothroyd_Elias_Moritz_Totalproteome_RSRC	1
ToxoDB	<b>Tachyzoite total proteome (RH) (Xia, et al.)</b>	<i>Toxoplasma gondii</i>	total protein by 1DE, LC-MS/MS	Wastling 1-D SDS PAGE	
ToxoDB	<b>Tachyzoite total proteome (RH) (Xia, et al.)</b>	<i>Toxoplasma gondii</i>	Tris-insoluble fraction by 1DE, LC-MS/MS	Wastling 1-D SDS PAGE Insoluble	
ToxoDB	<b>Tachyzoite total proteome (RH) (Xia, et al.)</b>	<i>Toxoplasma gondii</i>	Tris-soluble fraction by 1DE, LC-MS/MS	Wastling 1-D SDS PAGE Soluble	
ToxoDB	<b>Tachyzoite total proteome (RH) (Xia, et al.)</b>	<i>Toxoplasma gondii</i>	Tris-insoluble fraction by MudPIT	Wastling MudPIT Insoluble	
ToxoDB	<b>Tachyzoite total proteome (RH) (Xia, et al.)</b>	<i>Toxoplasma gondii</i>	Tris-soluble fraction by MudPIT	Wastling MudPIT Soluble	
ToxoDB	<b>Tachyzoite Rhoptry proteome (RH) (Bradley, et al.) </b>	<i>Toxoplasma gondii</i>	purified rhoptries	Wastling Rhoptry	
ToxoDB	<b>Tachyzoite conoid proteome (RH) (Hu, et al.)</b>	<i>Toxoplasma gondii</i>	conoid-depleted Fraction	Murray Conoid-depleted Fraction	
ToxoDB	<b>Tachyzoite conoid proteome (RH) (Hu, et al.)</b>	<i>Toxoplasma gondii</i>	conoid-enriched Fraction	Murray Conoid-enriched Fraction 	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by 1DE, LC-MS/MS, 12/2006	1D Gel Tachyzoite Membrane fraction 10-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by 1DE, LC-MS/MS, 10/2006	1D Gel Tachyzoite Membrane fraction 12-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by 2DE, LC-MS/MS	2DLC MS/MS Tachyzoite Membrane fraction	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	cytosolic fraction by LC-MS/MS, 05/2007	Tachyzoite Cytosolic Protein Fractions 05-2007	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by LC-MS/MS, 5/2/2006	Tachyzoite Membrane fraction 05-02-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by LC-MS/MS, 6/2006	Tachyzoite Membrane fraction 06-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by LC-MS/MS, 5/10/2006	MS Tachyzoite Membrane fraction 05-10-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane fraction by LC-MS/MS, 2/3/2006	MS Tachyzoite Membrane fraction 02-03-2006	
ToxoDB	<b>Tachyzoite membrane and cytosolic fractions (RH) (Dybas, et al.)</b>	<i>Toxoplasma gondii</i>	membrane biotin-purified fraction by LC-MS/MS, 5/22/2007	MS Tachyzoite Membrane Protein with  Biotinlyation Purification 05-22-2007	
ToxoDB	<b>Tachyzoite secretome (RH) (Zhou, et al.)</b>	<i>Toxoplasma gondii</i>	excreted/secreted antigen fraction by 2DE-MS	MS Carruthers 2destinct peptides	
ToxoDB	<b>Tachyzoite secretome (RH) (Zhou, et al.)</b>	<i>Toxoplasma gondii</i>	excreted/secreted antigen fraction by MudPIT	MS Carruthers MudPIT Twinscan hits	
ToxoDB	<b>Tachyzoite subcellular fractions (Moreno et al., unpublished)</b>	<i>Toxoplasma gondii</i>	sample A	Moreno DTASelect filter sample A	
ToxoDB	<b>Tachyzoite subcellular fractions (Moreno et al., unpublished)</b>	<i>Toxoplasma gondii</i>	sample G	Moreno DTASelect filter sample G	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Infected host cell, phosphopeptide-enriched  (peptide discovery against TgME49)	Tg_Boothroyd_Elias_Moritz_Intracellular_Phosphoproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Infected host cell, phosphopeptide-enriched (peptide discovery against TgGT1)	TgGT1_Boothroyd_Elias_Moritz_Intracellular_Phosphoproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Infected host cell, phosphopeptide-depleted  (peptide discovery against TgME49)	Tg_Boothroyd_Elias_Moritz_Intracellular_Totalproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Infected host cell, phosphopeptide-depleted (peptide discovery against TgGT1)	TgGT1_Boothroyd_Elias_Moritz_Intracellular_Totalproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Purified tachyzoites phosphopeptide-enriched (peptide discovery against TgME49)	Tg_Boothroyd_Elias_Moritz_Purified_Phosphoproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Purified tachyzoites phosphopeptide-enriched (peptide discovery against TgGT1)	TgGT1_Boothroyd_Elias_Moritz_Purified_Phosphoproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Purified tachyzoites phosphopeptide-depleted (peptide discovery against TgME49)	Tg_Boothroyd_Elias_Moritz_Purified_Totalproteome_RSRC	
ToxoDB	<b>Tachyzoite phosphoproteome from purified parasite or infected host cell (RH) (Treeck & Sanders et al.)</b>	<i>Toxoplasma gondii</i>	Purified tachyzoites phosphopeptide-depleted (peptide discovery against TgGT1)	TgGT1_Boothroyd_Elias_Moritz_Purified_Totalproteome_RSRC	
ToxoDB	<b>Calcium dependent tachyzoite phosphoproteome (RH) (Nebl, et al.)</b>	<i>Toxoplasma gondii</i>	phosphopeptide-enriched (via Mascot)	Tg_Tonkin_TiO2_Bound_Mascot-based_Phosphoproteome_RSRC	
ToxoDB	<b>Calcium dependent tachyzoite phosphoproteome (RH) (Nebl, et al.)</b>	<i>Toxoplasma gondii</i>	phosphopeptide-enriched (via Sequest)	Tg_Tonkin_TiO2_Bound_Sequest-based_Phosphoproteome_RSRC	
ToxoDB	<b>Calcium dependent tachyzoite phosphoproteome (RH) (Nebl, et al.)</b>	<i>Toxoplasma gondii</i>	phosphopeptide-depleted (via Sequest)	Tg_Tonkin_TiO2_Unbound_Phosphoproteome_RSRC	
ToxoDB	<b>Oocyst proteome (M4, type II) (Fritz, Bowyer et al., in press)</b>	<i>Toxoplasma gondii</i>	Oocyst walls, bleach-treated	TgonME49_BoothroydBowyerOocystMembrane_Proteome_RSRC	
ToxoDB	<b>Oocyst proteome (M4, type II) (Fritz, Bowyer et al., in press)</b>	<i>Toxoplasma gondii</i>	Oocyst walls, untreated	TgonME49_BoothroydBowyerOocystCytosol_Proteome_RSRC	
ToxoDB	<b>Oocyst proteome (M4, type II) (Fritz, Bowyer et al., in press)</b>	<i>Toxoplasma gondii</i>	Sporocysts/Sporozoites	TgonME49_BoothroydBowyerOocystWalls_Proteome_RSRC	
TrichDB	<b>T. vaginalis subcellular fraction</b>	<i>Trichomonas vaginalis</i>	T. vaginalis subcellular fraction peptides	Hayes-Johnson_Tvag_Proteomics	
GiardiaDB	<b>Isolate WB DTA-Select Filter</b>	<i>Giardia</i> Assemblage A isolate WB	DTA-Select Filter	DTASelect-filter_032108_Proteomics	
GiardiaDB	<b>G. intestinalis mitosome enriched fraction - nanoLC/MALDI TOF/TOF.</b>	<i>Giardia</i> Assemblage A isolate WB	G. intestinalis mitosome enriched fraction - nanoLC/MALDI TOF/TOF	Giardia proteomics data from Tachezy lab	
CryptoDB	<b>The protein repertoire of <i>Cryptosporidium parvum</i> sporozoites</b>	<i>Cryptosporidium parvum</i>	1D Gel LC-MS/MS	Wastling MassSpec 1D Gel LC-MS/MS	
CryptoDB	<b>The protein repertoire of <i>Cryptosporidium parvum</i> sporozoites</b>	<i>Cryptosporidium parvum</i>	2D Gel LC-MS/MS	Wastling MassSpec 2D Gel LC-MS/MS	
CryptoDB	<b>The protein repertoire of <i>Cryptosporidium parvum</i> sporozoites</b>	<i>Cryptosporidium parvum</i>	MudPit Soluble fractions	Wastling MassSpec MudPit Soluble	
CryptoDB	<b>The protein repertoire of <i>Cryptosporidium parvum</i> sporozoites</b>	<i>Cryptosporidium parvum</i>	MudPit Insoluble fractions	Wastling MassSpec MudPit Insoluble	
CryptoDB	<b>Proteomics analysis of sporozoite excystation of <i>Cryptosporidium parvum</i></b>	<i>Cryptosporidium parvum</i>	Insoluble Excysted Fraction LC-MS/MS	Lowery MassSpec LC-MS/MS Insoluble Excysted Fraction	
CryptoDB	<b>Proteomics analysis of sporozoite excystation of <i>Cryptosporidium parvum</i></b>	<i>Cryptosporidium parvum</i>	Insoluble Non-excysted Fraction LC-MS/MS	Lowery MassSpec LC-MS/MS Insoluble Non-excysted fraction	
CryptoDB	<b>Proteomics analysis of sporozoite excystation of <i>Cryptosporidium parvum</i></b>	<i>Cryptosporidium parvum</i>	Soluble Excysted and Non-excysted Fraction LC-MS/MS	Lowery MassSpec LC-MS/MS Soluble Excysted and Non-excysted fractions	
CryptoDB	<b>Enriched cytoskeletal and membrane fractions separated by 1D-SDS-PAGE</b>	<i>Cryptosporidium parvum</i>	1D Gel 14Aug2006	Fiser_Proteomics_14Aug2006_1D_gel	
CryptoDB	<b>Enriched cytoskeletal and membrane fractions separated by 1D-SDS-PAGE</b>	<i>Cryptosporidium parvum</i>	1D Gel 16May2006	Fiser_Proteomics_16May2006_1D_gel	
CryptoDB	<b>Enriched cytoskeletal and membrane fractions separated by 1D-SDS-PAGE</b>	<i>Cryptosporidium parvum</i>	1D Gel 24Jun2006	Fiser_Proteomics_24Jun2006_1D_gel	
CryptoDB	<b>Subcellular proteomic analysis of C. parvum oocysts</b>	<i>Cryptosporidium parvum</i>	Oocyst walls	Ferrari_Proteomics_LTQ_Oocyst_walls	
CryptoDB	<b>Subcellular proteomic analysis of C. parvum oocysts</b>	<i>Cryptosporidium parvum</i>	Intact Oocysts	Ferrari_Proteomics_LTQ_intact_oocysts_merged	
CryptoDB	<b>Subcellular proteomic analysis of C. parvum oocysts</b>	<i>Cryptosporidium parvum</i>	Sporozoites	Ferrari_Proteomics_LTQ_Sporozoites_merged	
CryptoDB	<b>Oocysts from <i>Cryptosporidium parvum</i> C162 after cow propagation and purification</b>	<i>Cryptosporidium parvum</i>	Mitochondrial Fraction	C. parvum mass spec data from Lorenza Putignani	
AmoebaDB	<b>Magnetic Bead-Purified Phagosomes from Trophozoite (Boettner et. al.)</b>	<i>Entamoeba histolytica</i>	0 min phagosomes	Phagosome Proteomics data from Huston - 0 mins	
AmoebaDB	<b>Magnetic Bead-Purified Phagosomes from Trophozoite (Boettner et. al.)</b>	<i>Entamoeba histolytica</i>	5 min phagosomes	Phagosome Proteomics data from Huston - 5 mins	
AmoebaDB	<b>Magnetic Bead-Purified Phagosomes from Trophozoite (Boettner et. al.)</b>	<i>Entamoeba histolytica</i>	10 min phagosomes	Phagosome Proteomics data from Huston - 10 mins	
AmoebaDB	<b>Magnetic Bead-Purified Phagosomes from Trophozoite (Boettner et. al.)</b>	<i>Entamoeba histolytica</i>	30 min phagosomes	Phagosome Proteomics data from Huston - 30 mins	
AmoebaDB	<b>Magnetic Bead-Purified Phagosomes from Trophozoite (Boettner et. al.)</b>	<i>Entamoeba histolytica</i>	60 min phagosomes	Phagosome Proteomics data from Huston - 60 mins	
AmoebaDB	<b>Concanavalin A-enriched Glycoproteins from Trophozoite (Carpentieri et. al.)</b>	<i>Entamoeba histolytica</i>	Concanavalin A-enriched Glycoproteins from Trophozoite (Carpentieri et. al.)	Ehistolytica_Glycosylation_RSRC	
AmoebaDB	<b>Purified Uropods from Trophozoite (Markiewicz et. al.)</b>	<i>Entamoeba histolytica</i>	Purified Uropods from Trophozoite (Markiewicz et. al.)	Ehistolytica_Markiewicz_Proteomics_RSRC	
TriTrypDB	<b>Bloodstream form kinobead-enriched proteome (Urbaniak et al. unpublished)</b>	<i>Trypanosoma brucei</i>	unenriched (peptide discovery with Lister 427)	Tbrucei427_Proteomics_Urbaniak_BsfProteome_RSRC	
TriTrypDB	<b>Bloodstream form kinobead-enriched proteome (Urbaniak et al. unpublished)</b>	<i>Trypanosoma brucei</i>	kinobead-enriched (peptide discovery with Lister 427)	Tbrucei427_Proteomics_Urbaniak_BsfEnriched_RSRC	
TriTrypDB	<b>Bloodstream form kinobead-enriched proteome (Urbaniak et al. unpublished)</b>	<i>Trypanosoma brucei</i>	unenriched (peptide discovery with TREU927)	Tbrucei927_Proteomics_Urbaniak_BsfProteome_RSRC	
TriTrypDB	<b>Bloodstream form kinobead-enriched proteome (Urbaniak et al. unpublished)</b>	<i>Trypanosoma brucei</i>	kinobead-enriched (peptide discovery with TREU927)	Tbrucei927_Proteomics_Urbaniak_BsfEnriched_RSRC	
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Trophozoite stage fraction 5	Pf_Voss_trophs_stages_F5_RSRC	2
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Trophozoite stage fraction 4	Pf_Voss_trophs_stages_F4_RSRC	2
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Trophozoite stage fraction 3	Pf_Voss_trophs_stages_F3_RSRC	2
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Trophozoite stage fraction 2	Pf_Voss_trophs_stages_F2_RSRC	2
